id,split,label,snr_target,snr_empirical,fs,N,T,f0,f1,phi0,noise_type,alpha,ar1_phi,seed,path
63870910c7994e60a3a7a9887aeb8694,train,1,6.0,6.000000000000018,1024,2048,2.0,40.0,120.0,5.197124240926078,1overf,1.5,nan,2025,.\data\synthetic\train\colored_1overf_alpha1.5\63870910c7994e60a3a7a9887aeb8694.npy
c6aed3334d714fe785799b759a06a1fa,train,1,4.0,4.000000000000011,2048,2048,1.0,20.0,120.0,5.777737021759437,1overf,1.5,nan,2025,.\data\synthetic\train\colored_1overf_alpha1.5\c6aed3334d714fe785799b759a06a1fa.npy
72b381dd77dc471b8a8d7b67c7fb4488,train,1,8.0,8.000000000004023,2048,2048,1.0,20.0,120.0,1.4465121529476546,white,nan,nan,2025,.\data\synthetic\train\white\72b381dd77dc471b8a8d7b67c7fb4488.npy
adeda6f7ac334b08b3a43295d4b25e79,val,1,4.0,4.00000000000002,1024,1024,1.0,40.0,180.0,0.39674479074601626,1overf,1.5,nan,2025,.\data\synthetic\val\colored_1overf_alpha1.5\adeda6f7ac334b08b3a43295d4b25e79.npy
76cb272161ad4566ac9b144599cbc89d,test,1,3.0,3.0000000000000973,2048,2048,1.0,20.0,80.0,1.3033360879635372,1overf,1.0,nan,2025,.\data\synthetic\test\colored_1overf_alpha1.0\76cb272161ad4566ac9b144599cbc89d.npy
fe0a1c6f6a6743d08d95690b6147c460,test,1,2.0,2.0000000000003615,2048,4096,2.0,40.0,120.0,3.1183583067826666,1overf,0.5,nan,2025,.\data\synthetic\test\colored_1overf_alpha0.5\fe0a1c6f6a6743d08d95690b6147c460.npy
8038a9a82d494da8ba8144bf45b808eb,train,1,10.0,10.000000000000032,1024,1024,1.0,40.0,180.0,5.821427861962839,1overf,1.5,nan,2025,.\data\synthetic\train\colored_1overf_alpha1.5\8038a9a82d494da8ba8144bf45b808eb.npy
31cb920c74bb40338ea7a2219db19508,test,1,5.0,5.000000000002639,2048,2048,1.0,20.0,180.0,5.055334572399583,white,nan,nan,2025,.\data\synthetic\test\white\31cb920c74bb40338ea7a2219db19508.npy
3072353ed8da446c91eb3f4ffdf32571,val,1,5.0,5.0000000000009495,1024,2048,2.0,30.0,180.0,5.353435116884856,1overf,0.5,nan,2025,.\data\synthetic\val\colored_1overf_alpha0.5\3072353ed8da446c91eb3f4ffdf32571.npy
6fb179c921d64e0c9d9d2be097bc5a36,train,1,8.0,8.000000000004063,1024,1024,1.0,20.0,120.0,3.1025242066601915,white,nan,nan,2025,.\data\synthetic\train\white\6fb179c921d64e0c9d9d2be097bc5a36.npy
