id,split,label,snr_target,noise_type,tau_star,m_star,n_H0,n_H1,max_persistence_H1,runtime_ms,backend,max_points_used,pd_path
63870910c7994e60a3a7a9887aeb8694,train,1,6.0,1overf,4,6,2028,807,1.9332906603813171,10900,ripser,2028,.\data\pd\63870910c7994e60a3a7a9887aeb8694_pd.npz
c6aed3334d714fe785799b759a06a1fa,train,1,4.0,1overf,8,6,2008,1129,2.0191250145435333,14585,ripser,2008,.\data\pd\c6aed3334d714fe785799b759a06a1fa_pd.npz
72b381dd77dc471b8a8d7b67c7fb4488,train,1,8.0,white,8,6,2008,876,1.72054061293602,5774,ripser,2008,.\data\pd\72b381dd77dc471b8a8d7b67c7fb4488_pd.npz
adeda6f7ac334b08b3a43295d4b25e79,val,1,4.0,1overf,3,6,1009,433,0.6101258397102356,363,ripser,1009,.\data\pd\adeda6f7ac334b08b3a43295d4b25e79_pd.npz
76cb272161ad4566ac9b144599cbc89d,test,1,3.0,1overf,12,7,1976,1146,1.6877056956291199,7624,ripser,1976,.\data\pd\76cb272161ad4566ac9b144599cbc89d_pd.npz
fe0a1c6f6a6743d08d95690b6147c460,test,1,2.0,1overf,7,8,3000,3192,1.0293508172035217,8335,ripser,3000,.\data\pd\fe0a1c6f6a6743d08d95690b6147c460_pd.npz
8038a9a82d494da8ba8144bf45b808eb,train,1,10.0,1overf,3,5,1012,300,0.5791235566139221,465,ripser,1012,.\data\pd\8038a9a82d494da8ba8144bf45b808eb_pd.npz
31cb920c74bb40338ea7a2219db19508,test,1,5.0,white,5,7,2018,1132,1.788885772228241,6770,ripser,2018,.\data\pd\31cb920c74bb40338ea7a2219db19508_pd.npz
3072353ed8da446c91eb3f4ffdf32571,val,1,5.0,1overf,3,7,2030,1068,0.6050024628639221,3312,ripser,2030,.\data\pd\3072353ed8da446c91eb3f4ffdf32571_pd.npz
6fb179c921d64e0c9d9d2be097bc5a36,train,1,8.0,white,4,6,1004,370,1.786955714225769,909,ripser,1004,.\data\pd\6fb179c921d64e0c9d9d2be097bc5a36_pd.npz
9a65634d4bc746e8943f2c60ad4467ff,test,1,2.0,1overf,11,7,1982,1553,1.078427016735077,3967,ripser,1982,.\data\pd\9a65634d4bc746e8943f2c60ad4467ff_pd.npz
62ad6d3ed39a4964a47a2997ac271f87,train,1,10.0,1overf,8,7,2000,892,2.3091760873794556,8412,ripser,2000,.\data\pd\62ad6d3ed39a4964a47a2997ac271f87_pd.npz
0795f3556f2b47c2a58da8923b1287a0,train,1,2.0,1overf,3,7,2030,1371,0.8410707116127014,2802,ripser,2030,.\data\pd\0795f3556f2b47c2a58da8923b1287a0_pd.npz
dcceb4e85d904305a4b1083bf32a303f,train,1,4.0,1overf,5,6,2023,1217,1.4640392065048218,5632,ripser,2023,.\data\pd\dcceb4e85d904305a4b1083bf32a303f_pd.npz
7a26ba36f2f642dda9c92914f94a7ab0,train,1,5.0,white,8,7,2000,1156,1.708310842514038,5916,ripser,2000,.\data\pd\7a26ba36f2f642dda9c92914f94a7ab0_pd.npz
9546506f45b3464aa87cfa87bd837e93,val,1,6.0,1overf,4,6,2028,747,1.9943085014820099,10521,ripser,2028,.\data\pd\9546506f45b3464aa87cfa87bd837e93_pd.npz
c51388462c0d4847b2ebf6ac13119476,train,1,2.0,1overf,5,7,2018,1886,0.5864303112030029,4211,ripser,2018,.\data\pd\c51388462c0d4847b2ebf6ac13119476_pd.npz
85696317263046f3b82b370b7dfbac0f,test,1,3.0,white,10,8,3000,2601,1.597662627696991,12703,ripser,3000,.\data\pd\85696317263046f3b82b370b7dfbac0f_pd.npz
